RowName,NameValue,bFeminine,bMasculine,Population,EthnicGroups
Cameron,Cameron,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Carlos,Carlos,False,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Carmen,Carmen,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Carol,Carol,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Carolina,Carolina,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Casey,Casey,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Casey,Casey,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Charles,Charles,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Charles,Charles,False,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Chaska,Chaska,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chaska,Chaska,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chayton,Chayton,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chayton,Chayton,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chayton,Chayton,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chenoa,Chenoa,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Chris,Chris,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Chris,Chris,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Christian,Christian,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Christina,Christina,True,False,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Christopher,Christopher,False,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Christopher,Christopher,False,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Claudia,Claudia,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Corey,Corey,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Corey,Corey,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Cynthia,Cynthia,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Daiki,Daiki,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Dakota,Dakota,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Dakota,Dakota,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Dakota,Dakota,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Dakota,Dakota,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Daniel,Daniel,False,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Daniela,Daniela,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Dasan,Dasan,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
David,David,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
David,David,False,True,0.022,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Deborah,Deborah,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Dennis,Dennis,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Dennis,Dennis,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Devon,Devon,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Diego,Diego,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Donald,Donald,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Donna,Donna,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Doris,Doris,True,False,0.006,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Dyani,Dyani,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Eduardo,Eduardo,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Edward,Edward,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Edward,Edward,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Eetu,Eetu,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Elan,Elan,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Elena,Elena,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Elijah,Elijah,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Elizabeth,Elizabeth,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Elu,Elu,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Elu,Elu,True,False,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Elu,Elu,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Emi,Emi,True,False,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Emilio,Emilio,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Emily,Emily,True,False,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Emma,Emma,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Enola,Enola,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Enrique,Enrique,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Eric,Eric,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Eric,Eric,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Ernesto,Ernesto,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Felipe,Felipe,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Fernando,Fernando,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Flor,Flor,True,False,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Frances,Frances,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Francisca,Francisca,True,False,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Francisco,Francisco,False,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Frank,Frank,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Frank,Frank,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Fumi,Fumi,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Fumiko,Fumiko,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Fumio,Fumio,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Gabriel,Gabriel,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Gabriel,Gabriel,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Gabriela,Gabriela,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Gary,Gary,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Gary,Gary,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
George,George,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Gloria,Gloria,True,False,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.Hispanic""),(TagName=""Game.Character.Race.White"")))"
Grace,Grace,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Gregory,Gregory,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Gregory,Gregory,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Guadalupe,Guadalupe,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Guillermo,Guillermo,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Hakan,Hakan,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Hale,Hale,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Halia,Halia,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Halian,Halian,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Halian,Halian,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Haruka,Haruka,True,False,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Haruka,Haruka,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Haruki,Haruki,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Haruto,Haruto,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Hayden,Hayden,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Hayden,Hayden,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Hikaru,Hikaru,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Hina,Hina,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Hinano,Hinano,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Hiroshi,Hiroshi,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Hitomi,Hitomi,True,False,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Hoku,Hoku,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Hoku,Hoku,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Hosanna,Hosanna,True,False,0.007,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Hotah,Hotah,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ia,Ia,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Ichiro,Ichiro,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Ilima,Ilima,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Iolana,Iolana,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Ipo,Ipo,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Ipo,Ipo,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Isabel,Isabel,True,False,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Isaiah,Isaiah,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Isamu,Isamu,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Isi,Isi,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Isi,Isi,True,False,0.013,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Ismael,Ismael,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Israel,Israel,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jack,Jack,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jack,Jack,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jacob,Jacob,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jacob,Jacob,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jacy,Jacy,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Jaden,Jaden,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jaden,Jaden,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jaime,Jaime,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
James,James,False,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jamie,Jamie,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jamie,Jamie,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jared,Jared,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jason,Jason,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jason,Jason,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Javier,Javier,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jeffrey,Jeffrey,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jeffrey,Jeffrey,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jennifer,Jennifer,True,False,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jeremy,Jeremy,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jerry,Jerry,False,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jerry,Jerry,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jesse,Jesse,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.Hispanic"")))"
Jesse,Jesse,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jessica,Jessica,True,False,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jesus,Jesus,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jin,Jin,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Jiro,Jiro,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
John,John,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jolon,Jolon,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Jonathan,Jonathan,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Jonathan,Jonathan,False,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Jordan,Jordan,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jordan,Jordan,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Jorge,Jorge,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jose,Jose,False,True,0.022,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Joseph,Joseph,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Joseph,Joseph,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Joshua,Joshua,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Juan,Juan,False,True,0.02,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Juana,Juana,True,False,0.021,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Judy,Judy,True,False,0.007,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
Julia,Julia,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Julio,Julio,False,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Jun,Jun,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Justin,Justin,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Justin,Justin,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Kai,Kai,False,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kai,Kai,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican""),(TagName=""Game.Character.Race.PacificIslander"")))"
Kaimana,Kaimana,True,False,0.015,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kainoa,Kainoa,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kaipo,Kaipo,True,False,0.016,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kaito,Kaito,False,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Kaiwi,Kaiwi,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kalani,Kalani,False,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kalea,Kalea,False,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kaleo,Kaleo,False,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kamana,Kamana,False,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kangee,Kangee,False,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Kanoa,Kanoa,False,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Kanti,Kanti,True,False,0.01,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Kaoru,Kaoru,True,True,0.013,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Karen,Karen,True,False,0.012,"(GameplayTags=((TagName=""Game.Character.Race.Black""),(TagName=""Game.Character.Race.White"")))"
