NameValue,bFeminine,bMasculine,PercentChance,EthnicGroups
Morales,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Nakagawa,True,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Nakai,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Napua,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Nez,True,True,0.022,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Nguyen,True,True,0.025,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Nohealani,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Ortiz,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Palakiko,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Park,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Parker,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Patel,True,True,0.022,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Perez,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Perez,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Phillips,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Pomaika'i,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.PacificIslander"")))"
Ramirez,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Ramos,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Reyes,True,True,0.011,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Rivera,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Robinson,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Rodriguez,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic""),(TagName=""Game.Character.Race.White"")))"
Ruiz,True,True,0.004,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Sanchez,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Sato,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Scott,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Singh,True,True,0.006,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Smith,True,True,0.032,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Stewart,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Tanaka,True,True,0.014,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Taylor,True,True,0.009,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Thomas,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Thompson,True,True,0.003,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Tohe,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Torres,True,True,0.016,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Tran,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Tso,True,True,0.021,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Tsoodle,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Tsosie,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Turner,True,True,0.008,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Vasquez,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.Hispanic"")))"
Walker,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Washington,True,True,0.028,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Wauneka,True,True,0.007,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
White,True,True,0.002,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Williams,True,True,0.025,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Wilson,True,True,0.012,"(GameplayTags=((TagName=""Game.Character.Race.White"")))"
Wong,True,True,0.018,"(GameplayTags=((TagName=""Game.Character.Race.Asian""),(TagName=""Game.Character.Race.PacificIslander"")))"
Wright,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Wu,True,True,0.001,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Yamamoto,True,True,0.01,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Yang,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Yazzie,True,True,0.023,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Yellowhair,True,True,0.015,"(GameplayTags=((TagName=""Game.Character.Race.NativeAmerican"")))"
Young,True,True,0.017,"(GameplayTags=((TagName=""Game.Character.Race.Black"")))"
Yu,True,True,0.005,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
Zhang,True,True,0.019,"(GameplayTags=((TagName=""Game.Character.Race.Asian"")))"
